case_id,case_name,parcel_count,litigation_cases,compensation_pending_pct,acquisition_stage,ownership_disputes,document_issues,previous_delays_months,notification_age_months,delayed
CASE-0037,Coimbatore Ring Road Sec Phase 1 (Sec 7),41,0,56.7,Award Inquiry (Sec 3G/23),5,10,1.3,22.3,1
CASE-0038,Coimbatore Ring Road Sec Phase 1 (Sec 1),24,1,82.6,SIA & Objection (Sec 3C/15),3,2,3.9,12.3,1
CASE-0039,Coimbatore Ring Road Sec Phase 2 (Sec 3),21,0,98.7,SIA & Objection (Sec 3C/15),4,1,0.0,6.8,0
CASE-0040,Coimbatore Ring Road Sec Phase 1 (Sec 2),42,0,65.1,Declaration (Sec 3D/19),0,6,2.4,16.9,0
CASE-0041,Salem Bypass Extension Phase 3 (Sec 5),137,1,68.3,Award Inquiry (Sec 3G/23),9,6,0.0,14.6,1
CASE-0042,Tirunelveli Solar Park Access Phase 2 (Sec 7),70,3,35.0,Declaration (Sec 3D/19),13,3,8.4,26.3,1
CASE-0043,Thoothukudi Port Rail Spur Phase 1 (Sec 1),22,0,88.4,SIA & Objection (Sec 3C/15),3,2,6.9,17.7,1
CASE-0044,Vellore Urban Peripheral Phase 3 (Sec 4),48,0,99.9,Notification (Sec 3A/11),4,3,0.0,1.0,0
CASE-0045,Madurai Logistics Park Phase 3 (Sec 6),104,2,36.0,Award Inquiry (Sec 3G/23),3,6,0.6,20.6,0
CASE-0046,Hosur IT Expressway Phase 1 (Sec 1),154,6,76.9,Notification (Sec 3A/11),4,22,3.6,7.2,1
CASE-0047,Thoothukudi Port Rail Spur Phase 3 (Sec 2),130,0,34.6,Compensation Disbursement,14,9,2.4,29.0,0
CASE-0048,SIPCOT Industrial Corridor Phase 2 (Sec 4),95,1,83.4,SIA & Objection (Sec 3C/15),7,1,1.9,10.4,0
CASE-0049,Coimbatore Ring Road Sec Phase 1 (Sec 4),54,1,31.7,Declaration (Sec 3D/19),2,5,2.4,18.1,0
CASE-0050,Vellore Urban Peripheral Phase 2 (Sec 7),65,0,65.8,Declaration (Sec 3D/19),11,7,1.1,16.0,0
CASE-0051,Hosur IT Expressway Phase 1 (Sec 2),39,0,57.8,Compensation Disbursement,1,3,4.3,33.6,1
CASE-0052,Erode Agri-Logistics Zone Phase 2 (Sec 4),64,0,98.1,Notification (Sec 3A/11),0,10,5.5,11.7,1
CASE-0053,Tirunelveli Solar Park Access Phase 2 (Sec 4),41,0,55.0,Compensation Disbursement,2,4,0.0,25.0,0
CASE-0054,Tiruchirappalli Freight Link Phase 1 (Sec 1),20,0,31.6,Declaration (Sec 3D/19),1,4,10.6,27.9,1
CASE-0055,Coimbatore Ring Road Sec Phase 2 (Sec 7),50,1,21.8,Possession (Sec 3E/38),3,8,1.7,34.7,0
CASE-0056,Vellore Urban Peripheral Phase 2 (Sec 7),47,0,88.5,Notification (Sec 3A/11),2,1,3.1,8.1,0
CASE-0057,Salem Bypass Extension Phase 1 (Sec 6),17,0,85.2,Notification (Sec 3A/11),3,1,3.1,7.9,0
CASE-0058,Erode Agri-Logistics Zone Phase 1 (Sec 2),15,0,61.2,Possession (Sec 3E/38),1,5,2.0,34.3,0
CASE-0059,Erode Agri-Logistics Zone Phase 3 (Sec 2),33,2,93.0,Notification (Sec 3A/11),2,2,0.0,2.2,0
CASE-0060,SIPCOT Industrial Corridor Phase 2 (Sec 3),108,2,9.5,Compensation Disbursement,4,2,6.0,34.5,1
CASE-0061,Tiruchirappalli Freight Link Phase 1 (Sec 5),46,1,78.5,SIA & Objection (Sec 3C/15),8,5,0.0,6.3,0
CASE-0062,Madurai Logistics Park Phase 2 (Sec 4),48,2,65.6,Award Inquiry (Sec 3G/23),4,2,2.4,22.8,1
CASE-0063,Tirunelveli Solar Park Access Phase 2 (Sec 1),164,2,9.8,Compensation Disbursement,5,35,3.9,32.5,1
CASE-0064,Coimbatore Ring Road Sec Phase 3 (Sec 7),48,3,59.7,Award Inquiry (Sec 3G/23),1,1,4.0,26.6,1
CASE-0065,Tiruchirappalli Freight Link Phase 2 (Sec 3),40,2,81.0,Declaration (Sec 3D/19),4,1,0.0,13.2,1
CASE-0066,Thoothukudi Port Rail Spur Phase 3 (Sec 6),185,3,12.9,Possession (Sec 3E/38),6,12,0.2,32.2,0
CASE-0067,Tiruchirappalli Freight Link Phase 1 (Sec 4),188,4,75.2,SIA & Objection (Sec 3C/15),2,5,4.6,13.5,1
CASE-0068,Madurai Logistics Park Phase 3 (Sec 1),86,1,51.8,Compensation Disbursement,4,10,0.0,22.4,0
CASE-0069,Tirunelveli Solar Park Access Phase 3 (Sec 1),27,0,66.0,Declaration (Sec 3D/19),1,2,3.4,19.0,0
CASE-0070,Madurai Logistics Park Phase 3 (Sec 3),129,1,55.0,Declaration (Sec 3D/19),15,11,0.1,14.2,0
CASE-0071,SIPCOT Industrial Corridor Phase 3 (Sec 5),25,1,65.0,Declaration (Sec 3D/19),2,6,9.8,24.8,1
CASE-0072,Salem Bypass Extension Phase 3 (Sec 5),101,1,92.9,Notification (Sec 3A/11),2,4,0.0,1.4,0
CASE-0073,Erode Agri-Logistics Zone Phase 2 (Sec 7),238,3,80.1,Notification (Sec 3A/11),20,8,5.2,12.4,1
CASE-0074,Tirunelveli Solar Park Access Phase 2 (Sec 7),45,0,86.7,Notification (Sec 3A/11),2,1,2.3,5.7,0
CASE-0075,Thoothukudi Port Rail Spur Phase 3 (Sec 6),35,1,55.1,Compensation Disbursement,0,3,3.3,30.8,0
CASE-0076,Hosur IT Expressway Phase 3 (Sec 1),29,1,84.1,SIA & Objection (Sec 3C/15),1,4,5.2,13.9,1
CASE-0077,Madurai Logistics Park Phase 1 (Sec 2),53,2,74.3,Declaration (Sec 3D/19),6,1,7.5,23.3,1
CASE-0078,Madurai Logistics Park Phase 1 (Sec 7),18,0,93.6,Notification (Sec 3A/11),0,2,1.5,4.9,0
CASE-0079,Tiruchirappalli Freight Link Phase 3 (Sec 6),102,3,70.7,Compensation Disbursement,8,4,7.9,36.1,1
CASE-0080,Tirunelveli Solar Park Access Phase 1 (Sec 4),26,0,1.6,Compensation Disbursement,0,0,4.1,30.8,0
CASE-0081,SIPCOT Industrial Corridor Phase 2 (Sec 2),42,1,82.1,Award Inquiry (Sec 3G/23),7,5,0.0,17.5,1
CASE-0082,Vellore Urban Peripheral Phase 1 (Sec 1),97,0,76.5,Notification (Sec 3A/11),3,9,0.0,2.4,0
CASE-0083,Erode Agri-Logistics Zone Phase 2 (Sec 3),66,0,43.1,Award Inquiry (Sec 3G/23),1,3,4.9,25.5,0
CASE-0084,Vellore Urban Peripheral Phase 2 (Sec 4),16,0,15.9,Compensation Disbursement,1,0,0.0,21.8,0
CASE-0085,Tirunelveli Solar Park Access Phase 2 (Sec 2),68,1,56.7,Declaration (Sec 3D/19),11,4,2.0,16.1,0
CASE-0086,Hosur IT Expressway Phase 1 (Sec 6),26,0,55.3,Award Inquiry (Sec 3G/23),0,1,0.0,17.2,0
CASE-0087,Hosur IT Expressway Phase 2 (Sec 6),41,1,16.9,Compensation Disbursement,2,5,2.0,29.6,0
CASE-0088,Thoothukudi Port Rail Spur Phase 2 (Sec 1),326,0,39.3,Award Inquiry (Sec 3G/23),26,56,2.7,25.3,0
CASE-0089,Coimbatore Ring Road Sec Phase 2 (Sec 6),46,0,83.5,SIA & Objection (Sec 3C/15),0,4,7.6,17.7,1
CASE-0090,Tirunelveli Solar Park Access Phase 2 (Sec 5),21,0,84.7,Declaration (Sec 3D/19),0,0,2.3,17.0,0
CASE-0091,Coimbatore Ring Road Sec Phase 1 (Sec 7),33,0,54.5,Award Inquiry (Sec 3G/23),0,0,0.0,16.4,0
CASE-0092,Vellore Urban Peripheral Phase 1 (Sec 3),61,0,79.9,SIA & Objection (Sec 3C/15),1,6,0.0,1.0,0
CASE-0093,Madurai Logistics Park Phase 1 (Sec 4),62,0,85.2,SIA & Objection (Sec 3C/15),2,3,1.9,10.9,0
CASE-0094,Madurai Logistics Park Phase 3 (Sec 5),26,1,21.8,Possession (Sec 3E/38),3,1,2.7,37.2,0
CASE-0095,Hosur IT Expressway Phase 3 (Sec 7),105,0,33.7,Declaration (Sec 3D/19),8,10,3.0,17.3,0
CASE-0096,Salem Bypass Extension Phase 1 (Sec 6),53,0,62.5,Declaration (Sec 3D/19),5,1,0.2,14.2,0
CASE-0097,Madurai Logistics Park Phase 3 (Sec 1),39,0,33.9,Declaration (Sec 3D/19),0,7,0.2,14.3,0
CASE-0098,Tiruchirappalli Freight Link Phase 1 (Sec 2),71,0,3.3,Compensation Disbursement,0,5,2.4,29.3,0
CASE-0099,Tiruchirappalli Freight Link Phase 2 (Sec 4),21,0,67.3,Declaration (Sec 3D/19),0,3,3.3,18.5,0
CASE-0100,SIPCOT Industrial Corridor Phase 3 (Sec 1),24,0,80.0,Award Inquiry (Sec 3G/23),1,3,0.1,20.1,0
CASE-0101,Tiruchirappalli Freight Link Phase 1 (Sec 6),23,0,56.0,Compensation Disbursement,4,3,0.0,23.6,1
CASE-0102,Madurai Logistics Park Phase 3 (Sec 7),121,1,59.0,Award Inquiry (Sec 3G/23),10,16,0.0,16.6,1
CASE-0103,Coimbatore Ring Road Sec Phase 1 (Sec 3),220,3,84.6,SIA & Objection (Sec 3C/15),14,20,5.6,18.4,1
CASE-0104,Tiruchirappalli Freight Link Phase 3 (Sec 3),79,1,52.1,Declaration (Sec 3D/19),3,12,0.2,14.2,0
CASE-0105,Thoothukudi Port Rail Spur Phase 3 (Sec 6),57,2,94.7,SIA & Objection (Sec 3C/15),3,3,4.5,13.5,1
CASE-0106,SIPCOT Industrial Corridor Phase 1 (Sec 3),35,0,41.1,Compensation Disbursement,3,4,0.2,26.2,0
CASE-0107,Salem Bypass Extension Phase 3 (Sec 3),145,6,81.9,Award Inquiry (Sec 3G/23),5,7,0.0,19.4,1
CASE-0108,Madurai Logistics Park Phase 1 (Sec 2),59,1,89.4,Notification (Sec 3A/11),1,9,7.8,12.4,1
CASE-0109,Coimbatore Ring Road Sec Phase 1 (Sec 7),101,0,97.3,Notification (Sec 3A/11),1,1,2.9,7.7,0
CASE-0110,Erode Agri-Logistics Zone Phase 3 (Sec 1),41,0,45.4,Compensation Disbursement,1,2,0.6,26.9,0
CASE-0111,Hosur IT Expressway Phase 1 (Sec 7),88,2,55.3,Compensation Disbursement,1,3,6.8,34.6,1
CASE-0112,Thoothukudi Port Rail Spur Phase 2 (Sec 1),113,1,30.4,Award Inquiry (Sec 3G/23),1,5,0.0,12.8,0
CASE-0113,Tiruchirappalli Freight Link Phase 1 (Sec 2),108,5,73.3,SIA & Objection (Sec 3C/15),8,3,3.7,12.6,1
CASE-0114,Tirunelveli Solar Park Access Phase 3 (Sec 2),31,1,73.0,Declaration (Sec 3D/19),5,1,0.0,13.3,0
CASE-0115,Hosur IT Expressway Phase 2 (Sec 4),184,2,32.5,Declaration (Sec 3D/19),12,18,6.1,20.4,1
CASE-0116,SIPCOT Industrial Corridor Phase 1 (Sec 6),210,4,12.9,Possession (Sec 3E/38),20,12,4.7,38.2,1
CASE-0117,Thoothukudi Port Rail Spur Phase 2 (Sec 5),113,1,72.4,Declaration (Sec 3D/19),4,14,1.3,15.6,0
CASE-0118,Vellore Urban Peripheral Phase 1 (Sec 7),37,1,89.2,Notification (Sec 3A/11),4,1,0.1,3.1,1
CASE-0119,Erode Agri-Logistics Zone Phase 2 (Sec 6),96,1,71.3,SIA & Objection (Sec 3C/15),5,10,3.1,11.3,0
CASE-0120,SIPCOT Industrial Corridor Phase 3 (Sec 1),68,1,92.9,Notification (Sec 3A/11),2,1,1.6,5.9,0
CASE-0121,Thoothukudi Port Rail Spur Phase 1 (Sec 1),26,1,51.8,Declaration (Sec 3D/19),2,3,1.7,16.3,0
CASE-0122,Erode Agri-Logistics Zone Phase 1 (Sec 4),78,2,78.3,Award Inquiry (Sec 3G/23),6,3,2.8,24.0,1
CASE-0123,Hosur IT Expressway Phase 2 (Sec 3),20,0,60.1,Declaration (Sec 3D/19),0,1,4.0,21.4,0
CASE-0124,Vellore Urban Peripheral Phase 1 (Sec 2),50,0,64.3,Award Inquiry (Sec 3G/23),1,1,0.0,19.9,0
CASE-0125,Coimbatore Ring Road Sec Phase 2 (Sec 5),232,4,83.5,Notification (Sec 3A/11),15,14,2.6,7.3,1
CASE-0126,Salem Bypass Extension Phase 2 (Sec 4),77,1,66.0,Award Inquiry (Sec 3G/23),5,5,6.1,30.3,1
CASE-0127,Hosur IT Expressway Phase 3 (Sec 7),15,0,57.8,Compensation Disbursement,1,3,5.5,33.4,1
CASE-0128,Tirunelveli Solar Park Access Phase 3 (Sec 6),110,1,82.6,SIA & Objection (Sec 3C/15),5,5,11.4,21.4,1
CASE-0129,Tiruchirappalli Freight Link Phase 3 (Sec 2),38,0,90.6,Notification (Sec 3A/11),3,0,5.5,9.4,0
CASE-0130,Madurai Logistics Park Phase 1 (Sec 1),33,0,75.8,SIA & Objection (Sec 3C/15),0,3,0.5,8.7,0
CASE-0131,Tiruchirappalli Freight Link Phase 1 (Sec 2),42,0,22.0,Possession (Sec 3E/38),5,2,4.1,36.9,0
CASE-0132,Erode Agri-Logistics Zone Phase 3 (Sec 6),33,0,87.3,Notification (Sec 3A/11),3,2,5.7,10.7,1
CASE-0133,Thoothukudi Port Rail Spur Phase 2 (Sec 1),47,0,86.1,SIA & Objection (Sec 3C/15),3,1,3.2,11.9,0
CASE-0134,Vellore Urban Peripheral Phase 3 (Sec 4),116,1,72.2,SIA & Objection (Sec 3C/15),12,14,3.1,11.9,1
CASE-0135,SIPCOT Industrial Corridor Phase 1 (Sec 3),53,1,73.1,Notification (Sec 3A/11),2,0,0.2,3.4,0
CASE-0136,Vellore Urban Peripheral Phase 2 (Sec 2),105,1,14.5,Compensation Disbursement,1,10,2.7,29.0,0
CASE-0137,Tiruchirappalli Freight Link Phase 3 (Sec 1),30,1,79.7,SIA & Objection (Sec 3C/15),2,1,7.1,17.0,1
CASE-0138,Erode Agri-Logistics Zone Phase 2 (Sec 5),127,2,77.2,Award Inquiry (Sec 3G/23),1,25,1.9,22.4,1
CASE-0139,Tirunelveli Solar Park Access Phase 3 (Sec 5),86,2,80.4,Declaration (Sec 3D/19),4,2,0.0,13.9,0
CASE-0140,Thoothukudi Port Rail Spur Phase 3 (Sec 3),196,2,83.3,Notification (Sec 3A/11),15,26,4.1,8.8,1
CASE-0141,Erode Agri-Logistics Zone Phase 2 (Sec 1),208,5,31.4,Declaration (Sec 3D/19),5,23,0.0,12.2,1
CASE-0142,Tirunelveli Solar Park Access Phase 2 (Sec 4),64,1,68.8,Possession (Sec 3E/38),1,8,2.9,35.7,1
CASE-0143,Tirunelveli Solar Park Access Phase 3 (Sec 1),16,0,6.7,Possession (Sec 3E/38),0,0,0.0,29.5,0
CASE-0144,Tirunelveli Solar Park Access Phase 3 (Sec 6),31,1,84.1,Award Inquiry (Sec 3G/23),1,3,0.0,19.7,1
CASE-0145,Hosur IT Expressway Phase 2 (Sec 1),42,2,73.5,SIA & Objection (Sec 3C/15),3,4,8.2,18.3,1
CASE-0146,Thoothukudi Port Rail Spur Phase 3 (Sec 1),166,9,43.9,Declaration (Sec 3D/19),10,12,5.2,20.1,1
CASE-0147,Hosur IT Expressway Phase 2 (Sec 4),31,1,41.4,Award Inquiry (Sec 3G/23),0,7,0.0,19.0,1
CASE-0148,Thoothukudi Port Rail Spur Phase 1 (Sec 1),93,4,68.4,Compensation Disbursement,0,6,0.0,22.3,1
CASE-0149,Salem Bypass Extension Phase 1 (Sec 6),28,1,10.8,Possession (Sec 3E/38),1,1,1.3,33.6,0
CASE-0150,Hosur IT Expressway Phase 3 (Sec 2),190,5,54.4,Award Inquiry (Sec 3G/23),2,3,4.5,28.4,1
CASE-0151,Tirunelveli Solar Park Access Phase 1 (Sec 7),196,1,50.8,Possession (Sec 3E/38),4,27,3.4,35.7,1
CASE-0152,Thoothukudi Port Rail Spur Phase 3 (Sec 2),170,2,4.1,Possession (Sec 3E/38),2,3,2.0,34.9,0
CASE-0153,Thoothukudi Port Rail Spur Phase 3 (Sec 2),149,4,95.9,Notification (Sec 3A/11),11,21,7.0,12.0,1
CASE-0154,Tirunelveli Solar Park Access Phase 3 (Sec 5),50,0,96.9,SIA & Objection (Sec 3C/15),0,6,1.9,11.6,0
CASE-0155,Salem Bypass Extension Phase 1 (Sec 6),20,0,85.9,SIA & Objection (Sec 3C/15),3,0,3.2,11.9,0
CASE-0156,SIPCOT Industrial Corridor Phase 2 (Sec 6),77,2,79.5,Award Inquiry (Sec 3G/23),2,1,0.0,16.4,1
CASE-0157,SIPCOT Industrial Corridor Phase 1 (Sec 6),84,0,42.1,Award Inquiry (Sec 3G/23),5,4,6.2,26.7,1
CASE-0158,Vellore Urban Peripheral Phase 3 (Sec 6),64,2,14.3,Compensation Disbursement,4,8,1.7,28.7,1
CASE-0159,Hosur IT Expressway Phase 2 (Sec 6),24,0,54.3,Declaration (Sec 3D/19),0,1,0.0,3.5,0
CASE-0160,Erode Agri-Logistics Zone Phase 2 (Sec 7),18,0,68.6,Compensation Disbursement,1,3,0.0,22.6,0
CASE-0161,Erode Agri-Logistics Zone Phase 1 (Sec 4),66,1,39.5,Possession (Sec 3E/38),1,5,0.4,32.4,0
CASE-0162,SIPCOT Industrial Corridor Phase 1 (Sec 5),58,1,83.7,Award Inquiry (Sec 3G/23),3,5,0.0,16.1,1
CASE-0163,SIPCOT Industrial Corridor Phase 2 (Sec 4),37,0,74.0,Possession (Sec 3E/38),6,2,4.7,40.3,1
CASE-0164,Madurai Logistics Park Phase 1 (Sec 5),37,1,35.7,Compensation Disbursement,0,4,2.8,29.2,0
CASE-0165,Madurai Logistics Park Phase 3 (Sec 2),202,0,58.0,Possession (Sec 3E/38),17,31,1.4,34.5,0
CASE-0166,SIPCOT Industrial Corridor Phase 3 (Sec 4),87,3,19.6,Compensation Disbursement,3,13,24.1,55.1,1
CASE-0167,Salem Bypass Extension Phase 1 (Sec 4),71,1,65.5,Award Inquiry (Sec 3G/23),0,4,0.4,20.4,0
CASE-0168,Salem Bypass Extension Phase 1 (Sec 7),67,0,83.9,SIA & Objection (Sec 3C/15),13,2,0.0,5.0,0
CASE-0169,Erode Agri-Logistics Zone Phase 1 (Sec 7),58,2,93.9,SIA & Objection (Sec 3C/15),2,3,3.8,13.2,1
CASE-0170,Madurai Logistics Park Phase 2 (Sec 2),57,1,91.9,Notification (Sec 3A/11),4,4,5.1,9.7,1
CASE-0171,Tirunelveli Solar Park Access Phase 3 (Sec 3),383,17,15.4,Possession (Sec 3E/38),0,17,0.9,33.2,1
CASE-0172,Thoothukudi Port Rail Spur Phase 1 (Sec 2),24,0,7.4,Compensation Disbursement,2,4,0.0,23.2,0
CASE-0173,Vellore Urban Peripheral Phase 2 (Sec 4),25,0,85.5,SIA & Objection (Sec 3C/15),1,3,1.6,10.3,0
CASE-0174,Hosur IT Expressway Phase 2 (Sec 1),25,1,12.6,Possession (Sec 3E/38),0,4,0.0,31.4,0
CASE-0175,Tiruchirappalli Freight Link Phase 2 (Sec 1),15,1,70.8,Declaration (Sec 3D/19),1,1,3.3,19.8,0
CASE-0176,Madurai Logistics Park Phase 2 (Sec 4),61,1,82.0,Declaration (Sec 3D/19),5,3,1.5,16.8,0
CASE-0177,Tirunelveli Solar Park Access Phase 1 (Sec 1),283,6,44.9,Possession (Sec 3E/38),36,42,1.5,34.0,1
CASE-0178,Coimbatore Ring Road Sec Phase 3 (Sec 1),135,4,64.0,Award Inquiry (Sec 3G/23),9,13,3.9,24.9,1
CASE-0179,Tiruchirappalli Freight Link Phase 2 (Sec 4),47,0,31.4,Award Inquiry (Sec 3G/23),2,8,7.4,28.9,1
CASE-0180,Erode Agri-Logistics Zone Phase 3 (Sec 2),93,2,73.1,Notification (Sec 3A/11),3,7,0.0,2.4,0
CASE-0181,Madurai Logistics Park Phase 3 (Sec 5),21,0,39.9,Declaration (Sec 3D/19),0,2,8.4,25.1,1
CASE-0182,Coimbatore Ring Road Sec Phase 3 (Sec 2),67,1,98.0,SIA & Objection (Sec 3C/15),5,2,9.2,19.4,1
CASE-0183,Erode Agri-Logistics Zone Phase 1 (Sec 2),24,0,79.9,SIA & Objection (Sec 3C/15),0,4,0.0,5.4,0
CASE-0184,Erode Agri-Logistics Zone Phase 3 (Sec 6),25,0,73.3,Declaration (Sec 3D/19),2,2,0.0,13.1,0
CASE-0185,Madurai Logistics Park Phase 2 (Sec 4),58,3,67.5,Award Inquiry (Sec 3G/23),3,0,1.5,22.8,1
CASE-0186,Tiruchirappalli Freight Link Phase 3 (Sec 7),94,3,83.8,Notification (Sec 3A/11),7,15,7.1,12.2,1
CASE-0187,SIPCOT Industrial Corridor Phase 3 (Sec 6),56,1,37.3,Declaration (Sec 3D/19),2,2,0.4,14.5,0
CASE-0188,SIPCOT Industrial Corridor Phase 1 (Sec 5),44,0,4.9,Possession (Sec 3E/38),2,2,0.0,30.8,0
CASE-0189,Erode Agri-Logistics Zone Phase 3 (Sec 2),85,2,21.9,Possession (Sec 3E/38),0,1,11.9,46.3,1
CASE-0190,Coimbatore Ring Road Sec Phase 3 (Sec 3),95,2,0.8,Compensation Disbursement,7,11,5.9,33.4,1
CASE-0191,Thoothukudi Port Rail Spur Phase 2 (Sec 6),156,4,13.4,Compensation Disbursement,13,11,4.1,30.9,1
CASE-0192,Tirunelveli Solar Park Access Phase 2 (Sec 3),23,1,80.0,Award Inquiry (Sec 3G/23),0,1,1.8,22.0,0
CASE-0193,Coimbatore Ring Road Sec Phase 2 (Sec 5),66,1,82.6,Declaration (Sec 3D/19),1,5,0.3,14.5,0
CASE-0194,SIPCOT Industrial Corridor Phase 1 (Sec 7),206,1,49.6,Declaration (Sec 3D/19),10,5,2.1,16.7,0
CASE-0195,SIPCOT Industrial Corridor Phase 1 (Sec 6),51,3,87.3,SIA & Objection (Sec 3C/15),0,3,0.0,1.8,1
CASE-0196,Hosur IT Expressway Phase 2 (Sec 1),25,0,75.9,Notification (Sec 3A/11),1,2,0.0,1.4,0
CASE-0197,Salem Bypass Extension Phase 1 (Sec 7),60,1,86.6,Notification (Sec 3A/11),0,8,3.6,6.9,0
CASE-0198,Tirunelveli Solar Park Access Phase 3 (Sec 3),137,6,71.2,Declaration (Sec 3D/19),1,7,2.1,17.3,1
CASE-0199,SIPCOT Industrial Corridor Phase 1 (Sec 2),51,2,64.6,Possession (Sec 3E/38),0,1,3.5,36.5,0
CASE-0200,Tiruchirappalli Freight Link Phase 1 (Sec 4),40,1,89.1,Notification (Sec 3A/11),1,3,2.9,6.9,0
CASE-0201,Hosur IT Expressway Phase 1 (Sec 1),141,5,80.7,Award Inquiry (Sec 3G/23),5,18,18.5,42.4,1
